"date","msft","aapl"
"2010-01-04",30.95,214.01
"2010-01-05",30.96,214.38
"2010-01-06",30.77,210.97
"2010-01-07",30.45,210.58
"2010-01-08",30.66,211.98
"2010-01-11",30.27,210.11
"2010-01-12",30.07,207.72
"2010-01-13",30.35,210.65
"2010-01-14",30.96,209.43
"2010-01-15",30.86,205.93
"2010-01-19",31.1,215.04
"2010-01-20",30.59,211.73
"2010-01-21",30.01,208.07
"2010-01-22",28.96,197.75
"2010-01-25",29.32,203.07
"2010-01-26",29.5,205.94
"2010-01-27",29.67,207.88
"2010-01-28",29.16,199.29
"2010-01-29",28.18,192.06
"2010-02-01",28.41,194.73
"2010-02-02",28.46,195.86
"2010-02-03",28.63,199.23
"2010-02-04",27.84,192.05
"2010-02-05",28.02,195.46
"2010-02-08",27.72,194.12
"2010-02-09",28.01,196.19
"2010-02-10",27.99,195.12
"2010-02-11",28.12,198.67
"2010-02-12",27.93,200.38
"2010-02-16",28.35,203.4
"2010-02-17",28.59,202.55
"2010-02-18",28.97,202.93
"2010-02-19",28.77,201.67
"2010-02-22",28.73,200.42
"2010-02-23",28.33,197.06
"2010-02-24",28.63,200.66
"2010-02-25",28.6,202
"2010-02-26",28.67,204.62
"2010-03-01",29.02,208.99
"2010-03-02",28.46,208.85
"2010-03-03",28.46,209.33
"2010-03-04",28.63,210.71
"2010-03-05",28.59,218.95
"2010-03-08",28.63,219.08
"2010-03-09",28.8,223.02
"2010-03-10",28.97,224.84
"2010-03-11",29.18,225.5
"2010-03-12",29.27,226.6
"2010-03-15",29.29,223.84
"2010-03-16",29.37,224.45
"2010-03-17",29.63,224.12
"2010-03-18",29.61,224.65
"2010-03-19",29.59,222.25
"2010-03-22",29.6,224.75
"2010-03-23",29.88,228.36
"2010-03-24",29.65,229.37
"2010-03-25",30.01,226.65
"2010-03-26",29.66,230.9
"2010-03-29",29.59,232.39
"2010-03-30",29.77,235.85
"2010-03-31",29.29,235
"2010-04-01",29.16,235.97
"2010-04-05",29.27,238.49
"2010-04-06",29.32,239.54
"2010-04-07",29.35,240.6
"2010-04-08",29.92,239.95
"2010-04-09",30.34,241.79
"2010-04-12",30.32,242.29
"2010-04-13",30.45,242.43
"2010-04-14",30.82,245.69
"2010-04-15",30.87,248.92
"2010-04-16",30.67,247.4
"2010-04-19",31.04,247.07
"2010-04-20",31.36,244.59
"2010-04-21",31.33,259.22
"2010-04-22",31.39,266.47
"2010-04-23",30.96,270.83
"2010-04-26",31.11,269.5
"2010-04-27",30.85,262.04
"2010-04-28",30.91,261.6
"2010-04-29",31,268.64
"2010-04-30",30.54,261.09
"2010-05-03",30.86,266.35
"2010-05-04",30.13,258.68
"2010-05-05",29.85,255.99
"2010-05-06",28.98,246.25
"2010-05-07",28.21,235.86
"2010-05-10",28.94,253.99
"2010-05-11",28.88,256.52
"2010-05-12",29.44,262.09
"2010-05-13",29.24,258.36
"2010-05-14",28.93,253.82
"2010-05-17",28.94,254.22
"2010-05-18",28.6,252.36
"2010-05-19",28.24,248.34
"2010-05-20",27.11,237.76
"2010-05-21",26.84,242.32
"2010-05-24",26.27,246.76
"2010-05-25",26.07,245.22
"2010-05-26",25.01,244.11
"2010-05-27",26,253.35
"2010-05-28",25.8,256.88
"2010-06-01",25.89,260.83
"2010-06-02",26.46,263.95
"2010-06-03",26.86,263.12
"2010-06-04",25.79,255.96
"2010-06-07",25.29,250.94
"2010-06-08",25.11,249.33
"2010-06-09",24.79,243.2
"2010-06-10",25,250.51
"2010-06-11",25.66,253.51
"2010-06-14",25.5,254.28
"2010-06-15",26.58,259.69
"2010-06-16",26.32,267.25
"2010-06-17",26.37,271.87
"2010-06-18",26.44,274.07
"2010-06-21",25.95,270.17
"2010-06-22",25.77,273.85
"2010-06-23",25.31,270.97
"2010-06-24",25,269
"2010-06-25",24.53,266.7
"2010-06-28",24.31,268.3
"2010-06-29",23.31,256.17
"2010-06-30",23.01,251.53
"2010-07-01",23.16,248.48
"2010-07-02",23.27,246.94
"2010-07-06",23.82,248.63
"2010-07-07",24.3,258.67
"2010-07-08",24.41,258.09
"2010-07-09",24.27,259.62
"2010-07-12",24.83,257.29
"2010-07-13",25.13,251.8
"2010-07-14",25.44,252.73
"2010-07-15",25.51,251.45
"2010-07-16",24.89,249.9
"2010-07-19",25.23,245.58
"2010-07-20",25.48,251.89
"2010-07-21",25.12,254.24
"2010-07-22",25.84,259.02
"2010-07-23",25.81,259.94
"2010-07-26",26.1,259.28
"2010-07-27",26.16,264.08
"2010-07-28",25.95,260.96
"2010-07-29",26.03,258.11
"2010-07-30",25.81,257.25
"2010-08-02",26.33,261.85
"2010-08-03",26.16,261.93
"2010-08-04",25.73,262.98
"2010-08-05",25.37,261.7
"2010-08-06",25.55,260.09
"2010-08-09",25.61,261.75
"2010-08-10",25.07,259.41
"2010-08-11",24.86,250.19
"2010-08-12",24.49,251.79
"2010-08-13",24.4,249.1
"2010-08-16",24.5,247.64
"2010-08-17",24.71,251.97
"2010-08-18",24.82,253.07
"2010-08-19",24.44,249.88
"2010-08-20",24.23,249.64
"2010-08-23",24.28,245.8
"2010-08-24",24.04,239.93
"2010-08-25",24.1,242.89
"2010-08-26",23.82,240.28
"2010-08-27",23.93,241.62
"2010-08-30",23.64,242.5
"2010-08-31",23.47,243.1
"2010-09-01",23.9,250.33
"2010-09-02",23.94,252.17
"2010-09-03",24.29,258.77
"2010-09-07",23.96,257.81
"2010-09-08",23.93,262.92
"2010-09-09",24.01,263.07
"2010-09-10",23.85,263.41
"2010-09-13",25.11,267.04
"2010-09-14",25.03,268.06
"2010-09-15",25.12,270.22
"2010-09-16",25.33,276.57
"2010-09-17",25.22,275.37
"2010-09-20",25.43,283.23
"2010-09-21",25.15,283.77
"2010-09-22",24.61,287.75
"2010-09-23",24.43,288.92
"2010-09-24",24.78,292.32
"2010-09-27",24.73,291.16
"2010-09-28",24.68,286.86
"2010-09-29",24.5,287.37
"2010-09-30",24.49,283.75
"2010-10-01",24.38,282.52
"2010-10-04",23.91,278.64
"2010-10-05",24.35,288.94
"2010-10-06",24.43,289.19
"2010-10-07",24.53,289.22
"2010-10-08",24.57,294.07
"2010-10-11",24.59,295.36
"2010-10-12",24.83,298.54
"2010-10-13",25.34,300.14
"2010-10-14",25.23,302.31
"2010-10-15",25.54,314.74
"2010-10-18",25.82,318
"2010-10-19",25.1,309.49
"2010-10-20",25.31,310.53
"2010-10-21",25.42,309.52
"2010-10-22",25.38,307.47
"2010-10-25",25.19,308.84
"2010-10-26",25.9,308.05
"2010-10-27",26.05,307.83
"2010-10-28",26.28,305.24
"2010-10-29",26.67,300.98
"2010-11-01",26.95,304.18
"2010-11-02",27.39,309.36
"2010-11-03",27.03,312.8
"2010-11-04",27.14,318.27
"2010-11-05",26.85,317.13
"2010-11-08",26.81,318.62
"2010-11-09",26.95,316.08
"2010-11-10",26.94,318.03
"2010-11-11",26.68,316.65
"2010-11-12",26.27,308.03
"2010-11-15",26.2,307.04
"2010-11-16",25.81,301.59
"2010-11-17",25.57,300.5
"2010-11-18",25.84,308.43
"2010-11-19",25.69,306.73
"2010-11-22",25.73,313.36
"2010-11-23",25.12,308.73
"2010-11-24",25.37,314.8
"2010-11-26",25.25,315
"2010-11-29",25.31,316.87
"2010-11-30",25.26,311.15
"2010-12-01",26.04,316.4
"2010-12-02",26.89,318.15
"2010-12-03",27.02,317.44
"2010-12-06",26.84,320.15
"2010-12-07",26.87,318.21
"2010-12-08",27.23,321.01
"2010-12-09",27.08,319.76
"2010-12-10",27.34,320.56
"2010-12-13",27.25,321.67
"2010-12-14",27.62,320.29
"2010-12-15",27.85,320.36
"2010-12-16",27.99,321.25
"2010-12-17",27.9,320.61
"2010-12-20",27.81,322.21
"2010-12-21",28.07,324.2
"2010-12-22",28.19,325.16
"2010-12-23",28.3,323.6
"2010-12-27",28.07,324.68
"2010-12-28",28.01,325.47
"2010-12-29",27.97,325.29
"2010-12-30",27.85,323.66
"2010-12-31",27.91,322.56
"2011-01-03",27.98,329.57
"2011-01-04",28.09,331.29
"2011-01-05",28,334
"2011-01-06",28.82,333.73
"2011-01-07",28.6,336.12
"2011-01-10",28.22,342.45
"2011-01-11",28.11,341.64
"2011-01-12",28.55,344.42
"2011-01-13",28.19,345.68
"2011-01-14",28.3,348.48
"2011-01-18",28.66,340.65
"2011-01-19",28.47,338.84
"2011-01-20",28.35,332.68
"2011-01-21",28.02,326.72
"2011-01-24",28.38,337.45
"2011-01-25",28.45,341.4
"2011-01-26",28.78,343.85
"2011-01-27",28.87,343.21
